"COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","FREQUENCY.ID","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE.ID","SCALE"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2001","-2.294","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2002","-3.462","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2003","-3.800","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2004","-3.603","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2005","-2.847","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2006","-2.340","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2007","-2.676","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2008","-4.162","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2009","-5.924","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2010","-6.689","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2011","-5.632","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2012","-4.409","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","-3.153","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","-2.543","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","-2.179","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","-2.344","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","-2.392","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2018","-2.474","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2019","-3.156","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2020","-7.514","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2021","-6.679","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2022","-4.405","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2023","-5.002","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2024","-4.935","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2025","-4.914","0","Units"
"G110","Advanced Economies","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2026","-4.981","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2000","-0.203","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2001","-0.669","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2002","-0.736","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2003","-0.333","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2004","-0.500","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2005","0.382","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2006","0.584","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2007","1.077","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2008","-0.263","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2009","-1.641","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2010","-1.618","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2011","-1.345","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2012","-1.193","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","-1.317","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","-1.078","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","-0.924","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","-0.411","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","0.039","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2018","-0.057","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2019","-1.281","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2020","-4.409","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2021","-2.496","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2022","-1.766","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2023","-1.780","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2024","-2.039","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2025","-2.204","0","Units"
"GX123","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2026","-2.116","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2000","1.307","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2001","0.085","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2002","-1.733","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2003","-3.153","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2004","-3.279","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2005","-3.625","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2006","-3.676","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2007","-4.326","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2008","-6.217","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2009","-7.695","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2010","-6.410","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2011","-4.811","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2012","-4.850","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","-2.911","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","-3.820","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","-3.389","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","-2.302","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","-2.084","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2018","-2.061","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2019","-2.385","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2020","-11.072","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2021","-7.210","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2022","-5.601","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2023","-6.309","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2024","-5.496","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2025","-4.038","0","Units"
"GBR","United Kingdom","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2026","-3.272","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2001","-2.570","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2002","-3.989","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2003","-4.473","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2004","-4.239","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2005","-3.549","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2006","-2.928","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2007","-3.343","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2008","-4.661","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2009","-6.381","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2010","-7.612","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2011","-6.488","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2012","-5.202","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","-3.669","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","-2.993","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","-2.543","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","-2.869","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","-3.063","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2018","-3.155","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2019","-3.721","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2020","-8.668","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2021","-8.005","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2022","-5.128","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2023","-5.937","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2024","-5.788","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2025","-5.688","0","Units"
"G119","G7","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2026","-5.808","0","Units"
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2001","-1.581","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2002","-3.734","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2003","-4.612","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2004","-4.499","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2005","-3.55","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2006","-2.956","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2007","-4.047","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2008","-6.178","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2009","-8.251","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2010","-10.054","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2011","-8.472","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2012","-6.439","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","-4.362","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","-3.546","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","-3.131","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","-3.853","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","-4.338","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2018","-4.903","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2019","-5.749","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2020","-10.46","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2021","-10.541","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2022","-5.973","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2023","-7.415","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2024","-7.595","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2025","-7.72","",""
"USA","United States","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2026","-7.745","",""
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2000","-0.783","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2001","0.055","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2002","0.022","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2003","-1.061","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2004","-1.004","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2005","-0.609","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2006","-0.714","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2007","-0.826","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2008","-1.623","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2009","-4.141","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2010","-4.044","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2011","-4.498","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2012","-3.810","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","-3.228","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","-3.226","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","-2.437","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","-2.256","0","Units"
"BEL","Belgium","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","-1.183","0","Units"
